text,label
178, 's time conservatives binnedboris sent 'lyin lynton back australia,0
179,  manifesto promised vote back ? think brexit would gone brits EU allowed vote ? referendum gerrymandered,0
180, THE METOO MOVEMENT MUST BE AN EXTENSION OF ANTIFA AND IS A COMPLETE JOKE ! IF THIS MOVEMENT WAS N'T SELECTIVE JOE BIDEN WOULD BE IN COURT FOR FONDING GIRLS ON CAMERA '' !,0
181, awesome ! thank give humanity hope !,0
182, GOOBER,0
183, another uninformed,0
184, I forgot foster child !,0
185, brainless DEMS wants us believe n't majority liberals like leaders '' corrupts obama crookedhillary real bad losers MAGA TRUMP '',1
186, fucking way said !,0
187, supposedly smart people n't think one moment audience people voted trump scared shitless hearing top brass speak way,0
188, I 'm surprised takes sick woman make type accusations kind find far left liberals praying really weak members GOP like collins flake pull back support,0
189, california gun control direct result white people scared black panthers using right bear arms NRA problem gun control !,1
190,  oct  brazil citizens overwhelming voted   government implementing strict gun control factor % brazilian government still violates referendum everyday brazilians murdered w/zero effective method self defense,0
191, ... claim without sin deceive truth us confess sins faithful forgive us sins purify us unrighteousness  john :- '',0
192, yet millions permit holding people carried legally concealed firearms day  hurt anyone else yet want stronger gun control idiots !  wonderful media hype incidents fits agenda,1
193, yes hurt selves gun control freaks,1
194, get like guy every hysterical tweet,0
195, always shows dedication wonder best,0
196, bullshit ! regulations good keeps conservatives striping land abyss,1
197, owner culo,1
198, scarred life lol MAGA,1
199, fucking -,1
200, confirm MAN ! THE LEFT WING ACTIVIST IS A LIAR WHO 'S STORY CHANGES ! NO HARD EVIDENCE ! christineblaseyford innocent proven guilty ! confirmkavanaugh MAGA weakrinos republicans,1
201, reagan also signed first gun control bill governor CA,0
202, awe hogwash really need overstate obvious ?,0
203, + years JUDGE ...  extensive backgrounds ... NOT peep ... link TRUMP ... BOOM ... conservatives rape liberals ? ? ?,0
204, I 'm assuming I 'm going get answer ' brainless liberal stooge ocasio-cortez T policy plan wakeupamerica THIS NOT america 's future VOTE republican surrender america DEM morons MAGA,1
205,  man seriously needs mental health treatment firearms confiscated longer danger others  I 'm waiting gun control advocates add list school shootings ''  buys caliber handguns ? ?,0
206, leftists showing yet vile,1
207, drunk crazy man,1
208, HONORED TO BE INCLUDED WITH ALL THESE FINE PATRIOTS ! THANK YOU RENA ! MAGA  DEAN !,0
209, please shut ontario seeing conservatives stand helping loose province never going anywhere.. way completely tune canadian mr. harper oops I mean mr. scheer common mistake much alike,0
210, alone I sexually assaulted fellow law student  I never reported I n't think I would believed however something happened made realize I n't victim I felt I 'd made colossal mistake,0
211, liberals,0
212, another terrorist attack reported msm,0
213, dont know imma,0
214, money n't made u smarter,1
215, yes ! ! gilmer ! ! makes laugh much !,0
216, U r lifeline,0
217, always thought H ford level headed guy ! guess ! note ford climate change summer-fall- winter-spring ! ! happens every year ! get !,0
218, yeah need made bullshit protestors antifa lol time epic beatdown,1
219, unfortunately 're right keep real SHE assault weapon !,0
220, real rocky  oh god ! !,0
221, thank everyone making possible amazing beautiful bears I 'm member olivers army I appreciate everything make lives better,0
222,  yeah got everything sorted needed sorted  still taking small sips wine unusual emily guessed JJ  profile,0
223, way  move haiti ? liberals seem make shit holes large cities go somewhere  already shit hole  work !,1
225, tried went nowhere 's  % pro gun control done,0
226, could killed many hunting rifle time vantage close hour police entered room actual shooting  min making gun control going get people killed need smarter,0
227, aha yes I see individual sense needing belong winning team '' constant conditioning self-devaluation I see strong sense Q side left/hillary/antifa side well regardless think 're winning '',0
228, oh I know I n't know talking I n't see tweet repling lol,0
229, another demonstration gun free zones  work brought liberal likely supports stricter gun control,0
230, n't pussy grabbing one wearing gloves handling food ? MAGA,1
231, plan environment even conservatives able understand able live planet make money,0
232, happens tell white liberals n't get congratulate woke put money mouth simple fact life breaks brains,0
233, antifa n't beat facsists try get change mind - know 's lost cause try change fascist 's mind scare hiding demoralize stop spread hateful ideology forcing views others '' '',1
234, SOROS root everything anything anti american money hollywood way islam ANTIFA illegals,0
235, firemorningjoe cut cloth conservatives misogyny bigotry always display responsible trump,1
236, truly got idiotic thing I 've ever seen,1
237, brigitte gabriel experienced life would nightmares sounding alarm americans buy book pay attention warning america,0
238, work want control population australian gun control effect homicides,1
239, poor baby,0
240, antifa = democrats = dixiecrats = KKK,0
241, liberals ruin everything !,1
242, n't forget telling primarily black liberal audience conservatives want put back chains '' '',0
243, sad ! ! ! exploited also reputation destroyed ! I  read  part antifa ! ? ? ? ? !,0
244, 's happens let liberal get hold gun would good place start gun control ban liberals getting guns,1
245, look happy .MAGA,1
246, trump proposes racial profiling tactic 'to start thinking ',0
247, introducing sweet sweet baby king ! always sooo nice ! I try sit sofa NEVER attacks !,0
248, gone tho inputed bottom top first seconds tweet ! good  tmart ,0
249, exactly record basically saying president law '' noted gop fine rudy issues,0
250, kamalaharris new dem emperor clothes taxpayers funded  unprecedented  armed protection gun control sen. kamala harris via,0
251, yet fat,1
252, plenty evidence guilty hill accused since conf hearings n't guilty/innocence got bench times diff journalist n't call white supremacy/alt-right antifa pick,0
253,  understand capablities despite proof economy hypothesis lied liberals entire life believing told liberal media made bill clinton look good could trump,0
254, ..oath must subpoenaed testify lifetime appointment stake please right time amp allow orrin hatch already made mind lying allowed question kind questions could invite lawsuit,0
255, Y  best,0
256, joke ! gem alright ! ! racist phony ! right along racist phony thinks follow second account block I speak truth I could care less follower 's like 's big party I care discriminate,1
257, indeed,0
258, 'm little concerned Q followers slowly become sort right wing sjw antifa thingie also excuse horrible english 's native languase n't much schooling 'm sorry sucks ,0
259, yep antifa literally hitler,0
260, wow hot ,0
261, deserving woman happy ! !,0
262, I 've noticed lot conservatives thoroughly disingenuous engaging twitter,0
263, may forgotten moment EU citizens rights afforded us EU citizens  believe shit goes head,1
264, 's modelling plenty women make shit tons money looking good,0
265, watching horizon show scientists discovered DNA mix humans neanderthals.would thought trump getting elected would proof enough MAGA,0
266, I hope way watch TV ted spanking liberals always enjoyable,0
267, looked work history listed board leading age services aust LASA comes medicare local alliance ... ever hell,1
268, look mirror !,0
269, I  sure ,0
270, send party manifesto promised help families maybe remind duties hostileenvironment priceonlove skypefamilies,0
271, families separated border fact picture children cages liberals using show evil '' trump actually taken OBAMA president '',0
272, antifa people,0
273, peoples vote  june  people rejected craven worship stand - majority  contemptuously defying people amp  GE manifesto amp supporting soros undermining democracy instead,0
274, cause bitches playing  god aint give gift nothing,1
275, free bird return muslim homeland,0
276, *mom speaks phone compose text brother* angry yells phone telling type like brother able tell even yelling ,0
277, melting snow flakes,0
278,  victim ? remains seen liberals turned kavanaughs hearings circus first minute started,0
279, coming man threatened try kick turmps ass n't take set ball 's,1
280, 're shocked hear liberals want centralize power federal level ?,0
281, HE IS BEST OF THE BEST ! ,0
282, whatilearnedtoday liberals  win without lying,0
283, fast furious holder lol,0
284, getting scared ugly man ?,1
285, one shows progressive I stand watch dislikes right left evenly know right start 've never seen show check youtube insightful  MAGA,0
286, NOT supreme court worthy,0
287, god I hope !,0
288, yes,0
289, bitch..,1
290, amp terroism amp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests,1
291, +++ I ca n't prove causation either conservatives CDA surely love idea    bashing PM ca n't help think 're also egging former continue bashing boost fortune vainly,0
292,  republican men picture   men age law makers old sorry young republicans like young conservatives born  years age,0
293, liberals  meme sense humor knowledge meme-ing philosophy,0
294, stunning,0
295, yea bitch right getting smacked,1
296, focus proud boys ? I know 're real journalist kelly focus ones violence ? ANTIFA want story focus journalists '' leftist activists constantly ignoring antifa 's attacks people '',0
297, hahaha BIG thighs going make,1
298,  called educating liberals,0
299, maga christineford trump tcot ccot americafirst patriots brettkavanaugh say bill clinton whitewater 's imperative make pattern revolting behavior clear -- piece painful piece '' indeed,1
300, MAGA people low IQ GDP growth '' means LITERALLY NOTHING way translate higher income white familes individuals billions goes companies government jobs create ? labour pays less living wage lmao ?,1
301, IF YOU WONNA GET PAID ... pick energy people ! ! ! ! scream shout like  kavanaugh hearing !,0
302, bro go watch hold backwood interview like shit irritating lmao nigga mad suspicious,1
303, A bitch built like could beat ass wants,1
304, trash,0
305, pathetic man !,1
306, new psychology thinker think religion aggressive thought deeply think hinduism ,0
307, shouldve played saint marie instead london docks saint ass ,0
308, thank goodness MN passive aggressive love ! !,0
309, empty prisons also say broke laws ... ..liberal logic,0
310, angel ! much love !,0
311, ? asking arrest ? liberals butthurt  months impeachable offense,0
312, tolerant left,0
313, must talking hateful conservatives,1
314, thats correct ! ! ! MAGA,1
315, show single case antifa actually murdered someone far right murdered someone charlottesville  hypocrisy works ways,0
316, bobby fit thats exactly would say sure,0
317, white people thank jesus republicans amp ex-crackheads '' - say america-hating liberals christians many ex-dems thank jesus too- amp many former emmys watchers thank jesus DAILY country amp ability TURN YOU OFF !,0
318, skip realize saying become professional tweeter kind shitting sports casters ? many TD receptions skip year ?,0
319, leftist wrong liberal colleges ppl students come unmask corrupt woman determined destroy good judge wants liberals courts,1
320, feeling touch first time,0
321, great ! mark great one '' levin candace `` great '' owens together ! team unbeatable ! sent liberals frenzy ! A whole block liberal voters heads explode ! ... sadly alyssa milano wet pants ! great team ! '',1
322, stratadata AI data hairball tdavis touring application cognitive machinelearning techniques speed governance data,1
323, grossly misinterpreting people across parties condemn action look bill davis brian mulroney see even conservatives think horrible decision,0
324, I n't proposing scare tactics I really meant I said trump easily pull good maga republicans easily steal enough votes GOP dem independents bring fresh breath rotten politics think,1
325, liberal would support liberal spent MILLION get liberals elected office libfail !,1
326, notice everyone avoids tweet  might think referring  comrade I stalk everyone ,0
327,  weirdly vicious bitter extrapolate  everyone access decent healthcare   liberals think criminals free.  reveals pretty brutalist impenetrable mind,1
328, fuck game watching ?,1
329, grown,0
330, health amp nature threat UK US,0
331, n't kavanaugh need terms ? guilty people ones need terms let clue 're worried going make terrible impression believable 're trying manage concern,0
332,  perpetuate colonialism going talk puertorico must puerto ricans panel ! jeezuz.fucking.christ ! difficult ? disporaenresistencia,0
333, anonymous message antifa Q qanon thegreatawakening commieclowns resistancerises resistance,0
334, antifa place society !,0
335, two votes home ! west texas stoked ! inspiring ! !,0
336, ? liberals trashy ?,1
337, grape !,0
338, HELLO SOMEBODY NEED HYUKJAE NOW SHE IS IN DANGER BY WATCHING YOUR FANCAMS,0
339, never show much intelligence,0
340, yes I saw I say tapper kept basket kept coming back stupid answers finally gave I  think big fan policies  stupid please,1
341, go anything fucked head,1
342, sure was't thinking,0
343, 's guy guy looks like sheila QANON MAGA GREATAWAKENING -crocodile dundee,0
344, 's problem ... go back fast furious proof ATF looking influence gun control US may preposterous government would fake sandy hook n't facilitating drug war somewhat similar ?,0
345, need know empty inside,1
346, oh dear I  sorry migraine I well sending prayers ,0
347, sister far kindest sweetest person alive use grandma passed may woman saint even song written mom 's saint '' written children course,0
348, liberals mentally unstable ! !,1
349, authorized search warrant mr jean home ? racist drug test premediated murder slandered victim,1
350, would line putz know conservatives think ?,0
351, dude.. r u trolling ash rock z ? .. guy.. hurry see bjp govt state,0
352,  said always praying even tho  anything I  sure heart broken well events,0
353, one ? active threat could shot driving need gun control ? idea threat exists hypothetical I excuse carry big scary gun ?,0
354, get life !,0
355, containers hurricane donations found rotting puerto rico parking lot,0
356, followed fantastic MAGA patriots  look forward following back thank amp wonderful day ,0
357, suicide rate america similar countries strict gun control.they use U.K. jumping cliffs bridges common method,0
358, joining ANTIFA ?,0
359, apparently durbin amnesia,0
360, canada regulated firearms since last quarter th century laws probably contributed canada  % many handguns circulation US,0
361, heard making waves,1
362,  anita hill versus clarence thomas I hope confirmation process end result MAGA ,0
363, boi n't,0
364, rd time teacher career I  parent tell he/she praying I always consider win  teacherlife prayalloftheprayers,0
365, welcome ! ! ! whysjamescryin ? ? ?,0
366, funny watching liberals sudden  transparent warner problems leaks truth issues people big trouble warner likely one,0
367, brown like,0
368, ladies always make smile..if know I mean ,0
369, thursdaythoughts- FUCK liberals forever,1
370, scalp custer ?,0
371, 's proven gun control laws intended disarm law abiding citizens subvert A criminal *don't* care gun laws,1
372, nothing abusive ever done anyone ! including women people country putting horrible stress worrying going easy NO '' says I agree gabby ! '',0
373, mxm nigger thinks give fuck,1
374, fake vote wants sympathy,1
375, ask antifa - one like amp respect,0
376, kids different women american jobless men ? nigerian men bomb ! ! !,1
377, banning ammunition guns still legal instate gun control keep  watch firearms,0
378, dont anything trump conservatives refuse trade business,0
379, got signing book ... ... cute,0
380, russian agent DISGRACE hey old creep going die prison trump sold america russians  time time years crimes scumbag,1
381, wow salinsky tactics,0
382, insanely ridiculous bullshit,1
383, nhs way populated country conservatives privertised nhs buys,0
384,  surprised pigs worked neonazis unmask antifa protestors local coverage shit journos like  cover AT ALL rely investigative coverage,1
385, gun control anyone ? disarmhate,0
386, I  gun control ... .practice reading comprehension first,0
387, I beginning believe liberals sociopaths none people believe rule law evidence crime go confirmbrettkavanaughnow,0
388,  % americans lazy vote non-voters skew liberal many liberals vote throw vote away rd party losers next question ?,1
389, I ca n't wait see MAGA tat across chest picture mueller,0
390, I 'm sure n't call gated community 's private security firm bull connors '' though 's funny liberals LOVE privatization police ! '',1
391, wonder many children molested,1
392, amazing I admire much always able raise ugliness amp hatred show us grace,0
393, oh england ? views gun control stopped mattering ,1
394, ANTIFA party amp sudden expect us believe care anyone besides nope,1
395, antifa caught guard getting confronted last person ... via,0
396, ouch !,1
397, wonder apologized diamond silk calling  minstrel show ?  fired making faces,1
398,  awesome kavanaugh  shake gun control dads hand sorry kid killed gun  future judges fault happened ... ... omg white people cities silly,1
399, john podesta spirit cooking pedo 's photo valerie jarrett rather compromising situation MAGA qanon drainthedeepstate draintheswamp,1
400, somebody 's terrified happen american public knows truth 've ? drainthedeepstate MAGA trump KAG,0
401, I love way pisses liberals,1
402, ? I bet still sloane ... pretty awesome ! !,0
403, auto correct gggrrr *crazy witch*,1
404, I turned speech sounded like liberals becoming another nasty party '' personal attacks various individuals '',1
405, SJW crap and/or paedophilia .. hollywood TV movies gaming politics comics police publicauthorities like councils .. DWP dwpcrimes catholicchurch church vatican islam muslims used weapon .. missed anything ? ! NHS maybe ? MBGA conservatives,0
406, thinks talk referee like expect everyone support ! treat specially ?,0
407, another negative democrat refuses disappear !,1
408, elected MP could please explain still promoting ideas EU already rejected ? 've  months go nothing appears moving onward like blind leading blind brexitshambles brexitmeansbrexit,1
409, getting paris climate agreement voters wanted ! obama committed us B towards agreement ! keep paying third world countries going broke ! help places like cal illegals either !,0
410,  gon na tip two new assholes,0
411,  effected radiation killed I hope mentions lady gaga witch since known immortal witch supreme,1
412, mike country living country constitutional REPUBLIC democracy,0
413,  election season trump dick magnificent dick tremendous leftists prove russian puppet ! trump *whips dick fit senility* conservatives *vote trump victory*,1
414, science ecology health nature problem one many gun control,0
415, interesting demoncraps n't even inventive enough create cartoons originally put republicans - liberals koolaide drinkers always liberals also scum earth prove daily lies,1
416, believe president fake ID ?,0
417, old article going relevant soon ... clintonfoundation MAGA clintoncrimes,0
418, needs go joe P,0
419, ! ,0
420, I n't think clue leadership liberals temperament  year old children told ... .you intellectual brilliance goat.. please stop tweeting TDS making look quite fool..,0
421, gun control leftist I 'd rather child responsible parent locked front door didnt let get involved neighbors DV shir could grab '' couldnt leavem shes lucky didnt find first '',0
422, someone please show front center tonight unless get declass today MAGA,0
423, ajsjjsjdkkdjdk want much  literally tell die  obey,1
424, sorry hear loss friend,0
425, characterizations famous people funny black cue race baiters  ...  ...  ...,0
426,  dead necrophiliac well ? good know ... must suck chess never mind  dimensional chess ...  even think one move ahead let alone many ... change twitter handle dumbaf even ish,1
427, funny conservatives n't like one 's defected sure n't mind liberal defected 's integrity ?,0
428, get testy decide 're paid shill '' lot end hanging around qanon 'll get used '',1
429, could anyone want vote democrat wants open borders gun control,0
430, full blown temper tantrum manafort,0
431, trump sick man toxic mean spirited,1
432, VA voters know right side gun issue gun control gun rights ? answer may help determine whether nra-financed rep. comstock wins reelection,1
433, oshaeterry thuglife criminal behaved ordinary disposable criminal MAGA MAGA magarallyrules texaspolice,1
434,  watch  care MAGA,0
435, full bunk,1
436, wait conservatives crying needing safe spaces '' sudden liberal elite college '',0
437, hell boycott mcenroe ... ..this much ! !,1
438, respect constitution need driven office votedemsout votered therainmakers qanon MAGA WWGWGA,0
439, ANTI-ANTIFA IS BALLS,1
440, I believe correct chico wise chihuahua ! ! ,0
441, IM GOING HARDCORE BITCH,1
442, I hope right,0
443, xx,0
444, self-serving n't stand reject mrs may 's de facto remain surrender begone insurgent hashtag,0
445, I used signifing monkey heart played wife like hell ?,1
446, yeah I think saying addiction life long battle regardless relapsed josh keep demons bay every day,0
447, words im speaking behalf ca n't sit idly people make ass feel like people better '',0
448, I think one mad didnt like called trying make bully ,1
449, cute,0
450, disgusting rangers fan ! disgusting support breaking union ! proudtobebritish ,1
451, 's almost  years ago  something changed gun control discussed NRA NRA went backing gun control america  powerful lobby group '',0
452, hopefully voters realise could ended shitshow well midterms,1
453, ? BOOOM MAC telling pay public sector properly 's magic money tree '' disaster means NHS crisis competing sectors,0
454, absolutely right smdh,0
